Order Region,orders,late_rate,lost_sales
Central Africa,1677,0.5796064400715564,187688.32370765
South Asia,7731,0.5626697710516104,871471.657009891
East Africa,1852,0.5593952483801296,210443.894177531
Western Europe,27109,0.5584861116234461,3292013.639178776
South of  USA ,4045,0.557725587144623,436088.14858219004
Eastern Europe,3920,0.5566326530612244,432513.76854793006
East of USA,6915,0.5566160520607375,754079.344992242
Southeast Asia,9539,0.5552992976202956,1073898.3905999302
Central Asia,553,0.5533453887884268,59733.701158610005
West Asia,6009,0.5528374105508405,656377.2928851241
US Center ,5887,0.5524036011550875,638504.173039071
Central America,28341,0.5475459581525,3110260.2305049626
North Africa,3232,0.5451732673267327,341470.326703631
Southern Europe,9431,0.5438447672569187,1100896.569972741
Eastern Asia,7280,0.5432692307692307,811474.275794652
South America,14935,0.5430867090726481,1606545.921497311
Northern Europe,9792,0.5404411764705882,1153862.6209057511
Oceania,10148,0.5402049664958612,1079244.381022792
West of USA ,7993,0.5395971475040661,838331.366590803
Southern Africa,1157,0.533275713050994,123707.83242227002
Caribbean,8318,0.5307766289973551,872376.526729231
West Africa,3696,0.5284090909090909,384741.85740803194
Canada,959,0.4880083420229406,90671.0218077
