Order Region,First Class,Same Day,Second Class,Standard Class
Canada,0.9239130434782609,0.21212121212121213,0.7530120481927711,0.2881944444444444
Caribbean,0.9488683989941324,0.49667405764966743,0.78295524218271,0.3533610945865556
Central Africa,0.9266666666666666,0.3037974683544304,0.8114478114478114,0.42857142857142855
Central America,0.9550433591967138,0.45748418833450455,0.7500456121145777,0.38528290823805333
Central Asia,1.0,0.203125,0.8632478632478633,0.4174757281553398
East Africa,0.9892857142857143,0.41836734693877553,0.7707182320441989,0.3947841726618705
East of USA,0.9641873278236914,0.4784688995215311,0.7480438184663537,0.39782082324455204
Eastern Asia,0.9482262703739214,0.4753694581280788,0.7937411095305832,0.3744632768361582
Eastern Europe,0.9604863221884499,0.3595505617977528,0.7487046632124352,0.39273356401384085
North Africa,0.9711934156378601,0.5595854922279793,0.7828200972447326,0.36105371900826444
Northern Europe,0.9598025387870239,0.3984526112185687,0.7624167946748592,0.3787262872628726
Oceania,0.9297218155197657,0.40649149922720246,0.7675675675675676,0.3913114754098361
South America,0.9320640415404586,0.5128865979381443,0.7506190307746728,0.3809998891475446
South Asia,0.9664848012470771,0.49604221635883905,0.7719072164948454,0.3816692495018818
South of  USA ,0.9516666666666667,0.425531914893617,0.8118214716525934,0.38303233935321296
Southeast Asia,0.9548969072164949,0.4079822616407982,0.7610474631751227,0.39207434683499914
Southern Africa,0.9848484848484849,0.56,0.68,0.3787465940054496
Southern Europe,0.9720744680851063,0.5325131810193322,0.7614840989399293,0.36590106007067136
US Center ,0.9645030425963489,0.38699690402476783,0.7541666666666667,0.3762581409117821
West Africa,0.978401727861771,0.3542600896860987,0.7723577235772358,0.37455985915492956
West Asia,0.9527162977867203,0.45878136200716846,0.7649501661129569,0.3754246885617214
West of USA ,0.9329852045256745,0.4823529411764706,0.7683823529411765,0.3722581992897431
Western Europe,0.9524582560296846,0.4735785953177257,0.7789628539904376,0.38382501260716084
