week_label,week_start,calls,answered,resolved,answered_calls,avg_speed_of_answer,avg_handle_time,avg_satisfaction,answer_rate,abandonment_rate,fcr_rate
Dec 29,2014-12-29,230,185,164,185,70.6541,230.4108,3.4054,0.8043,0.1957,0.8865
Jan 05,2015-01-05,432,359,327,359,68.0557,223.0279,3.4345,0.831,0.169,0.9109
Jan 12,2015-01-12,368,304,270,304,66.2664,226.125,3.4967,0.8261,0.1739,0.8882
Jan 19,2015-01-19,372,294,265,294,66.8367,227.9728,3.5238,0.7903,0.2097,0.9014
Jan 26,2015-01-26,442,370,335,370,66.5676,222.4216,3.4027,0.8371,0.1629,0.9054
Feb 02,2015-02-02,402,323,295,323,66.8483,230.8947,3.3715,0.8035,0.1965,0.9133
Feb 09,2015-02-09,406,325,296,325,68.8,223.7569,3.4738,0.8005,0.1995,0.9108
Feb 16,2015-02-16,394,318,275,318,65.2736,232.695,3.2453,0.8071,0.1929,0.8648
Feb 23,2015-02-23,406,327,293,327,69.2324,225.8685,3.4343,0.8054,0.1946,0.896
Mar 02,2015-03-02,404,329,299,329,65.5805,220.7173,3.4255,0.8144,0.1856,0.9088
Mar 09,2015-03-09,364,296,268,296,68.9797,216.9527,3.3142,0.8132,0.1868,0.9054
Mar 16,2015-03-16,372,294,264,294,68.7823,224.4422,3.3673,0.7903,0.2097,0.898
Mar 23,2015-03-23,356,294,263,294,66.9252,221.0068,3.3265,0.8258,0.1742,0.8946
Mar 30,2015-03-30,52,36,32,36,71.1389,225.8333,3.5556,0.6923,0.3077,0.8889
